english_word	offset	definition	c_lu_id	spelling	provenance
irreconcilable	eng-30-01986926-a	impossible to reconcile	r_a-13631	onoverbrugbaar	opus_alt-dict
statistical	eng-30-02911627-a	of or relating to statistics	r_a-15011	statistisch	bing_opus_alt-dict
alphanumerical	eng-30-02614579-a	of or pertaining to alphanumeric characters	r_a-8751	alfanumeriek	google_bing_opus_alt-dict
sudden	eng-30-01143279-a	happening without warning or in a short space of time	r_a-14206	plotseling	bing_opus_alt-dict
unprofitable	eng-30-01871949-a	producing little or no profit or gain	r_a-13653	onrendabel	google_bing_opus_alt-dict
assertive	eng-30-00156101-a	aggressively self-assured	r_a-16401	zelfbewust	google_std-dict
cartographic	eng-30-02681881-a	of or relating to the making of maps or charts	r_a-9805	cartografisch	automatic-rule-1_google_bing_opus_std-dict
defiant	eng-30-00695523-a	boldly resisting authority or an opposing force	r_a-13907	opstandig	opus_std-dict
climatic	eng-30-03055374-a	of or relating to a climate	r_a-12581	klimatologisch	google_bing_opus_alt-dict
eucharistic	eng-30-02715802-a	of or relating to the sacrament of the Eucharist	d_a-75995	eucharistisch	automatic-rule-1_google_bing_std-dict
pedagogic	eng-30-02945971-a	of or relating to pedagogy	r_a-14273	pedagogisch	google_std-dict
nearsighted	eng-30-02157226-a	unable to see distant objects clearly	r_a-9303	bijziend	google_bing_opus_std-dict
teleological	eng-30-02991586-a	of or relating to teleology	d_a-287558	teleologisch	google_opus_std-dict
autogamous	eng-30-00871494-a	characterized by or fit for autogamy	d_a-15028	autogaam	google_std-dict
post-communist	eng-30-02875104-a	no longer communist; subsequent to being communistic	r_a-14212	postcommunistisch	bing_alt-dict
synchronal	eng-30-02377651-a	occurring or existing at the same time or having the same period or phase	r_a-15117	synchroon	google_std-dict
sadistic	eng-30-02057535-a	deriving pleasure or sexual gratification from inflicting pain on another	r_a-14784	sadistisch	google_opus_std-dict
injured	eng-30-01317954-a	harmed	r_a-11094	gewond	google_bing_opus_std-dict
unseaworthy	eng-30-02088086-a	unfit for a voyage	d_a-197516	onzeewaardig	google_std-dict
insatiable	eng-30-02078399-a	impossible to satisfy	r_a-13780	onverzadigbaar	bing_opus_alt-dict
aristotelic	eng-30-03028465-a	of or relating to Aristotle or his philosophy	d_a-13333	aristotelisch	automatic-rule-1_google_std-dict
amicable	eng-30-01246579-a	characterized by friendship and good will	r_a-12885	minnelijk	bing_alt-dict
uninsured	eng-30-02097029-a	not covered by insurance	r_a-13781	onverzekerd	google_opus_std-dict
tucked	eng-30-02467108-a	having tucked or being tucked	d_a-312574	verscholen	google_bing_std-dict
unpalatable	eng-30-01716491-a	not pleasant or acceptable to the taste or mind	r_a-13752	onverkwikkelijk	opus_alt-dict
islamic	eng-30-02923510-a	of or relating to or supporting Islamism	r_a-12014	islamitisch	google_opus_std-dict
unpardonable	eng-30-01721530-a	not admitting of pardon	r_a-13741	onvergeeflijk	bing_opus_alt-dict
syntactical	eng-30-02880557-a	of or relating to or conforming to the rules of syntax	r_a-15199	syntactisch	google_std-dict
unashamed	eng-30-00154965-a	used of persons or their behavior; feeling no shame	r_a-14801	schaamteloos	bing_alt-dict
unmodified	eng-30-01541013-a	not changed in form or character	r_a-13544	ongewijzigd	google_alt-dict
washable	eng-30-02533810-a	capable of being washed without injury	r_a-15850	wasbaar	google_std-dict
unaddressed	eng-30-00050947-a	not addressed	d_a-208131	ongeadresseerd	automatic-rule-1_google_bing_std-dict
enforceable	eng-30-00557221-a	capable of being enforced	r_a-15796	uitvoerbaar	google_bing_std-dict
ungrammatical	eng-30-01146207-a	not grammatical; not conforming to the rules of grammar or accepted usage	d_a-194433	ongrammaticaal	opus_std-dict
geophysical	eng-30-02908235-a	of or concerned with geophysics	d_a-90487	geofysisch	automatic-rule-1_bing_opus_std-dict
zodiacal	eng-30-03132560-a	relating to or included in the zodiac	d_a-345475	zodiakaal	google_bing_std-dict
unloved	eng-30-01463137-a	not loved	r_a-13311	onbemind	google_bing_opus_std-dict
immoderate	eng-30-01533120-a	beyond reasonable limits	r_a-12771	mateloos	google_std-dict
arbitral	eng-30-02637730-a	relating to or resulting from arbitration	r_a-9016	arbitraal	google_std-dict
unadvisable	eng-30-00067767-a	not prudent or wise; not recommended	d_a-208222	ongeraden	google_bing_std-dict
hemorrhagic	eng-30-02740223-a	of or relating to a hemorrhage	d_a-108055	hemorragisch	automatic-rule-1_google_bing_opus_std-dict
communicatory	eng-30-00494907-a	able or tending to communicate	r_a-11907	informatief	google_std-dict
spectrographic	eng-30-02800291-a	relating to or employing a spectrograph	d_a-284292	spectrografisch	google_std-dict
prudent	eng-30-01898129-a	careful and sensible; marked by sound judgment	r_a-16019	verstandig	google_opus_std-dict
episcopal	eng-30-02954981-a	of or pertaining to or characteristic of the Episcopal church	r_a-9480	bisschoppelijk	google_opus_alt-dict
dermatological	eng-30-02916230-a	of or relating to or practicing dermatology	d_a-70805	dermatologisch	opus_std-dict
megalithic	eng-30-03085394-a	of or relating to megaliths or the people who erected megaliths	d_a-180466	megalitisch	automatic-rule-1_opus_std-dict
surmounted	eng-30-03149619-a	having something on top	d_a-528354	overwonnen	google_bing_std-dict
unpleasant	eng-30-01801600-a	disagreeable to the senses, to the mind, or feelings	r_a-13260	onaangenaam	google_opus_std-dict
unsuspected	eng-30-02370329-a	not suspected or believed likely	r_a-13758	onvermoed	google_std-dict
budgetary	eng-30-03022593-a	of or relating to a budget	r_a-9510	budgettair	google_bing_opus_alt-dict
histological	eng-30-03072365-a	of or relating to histology	d_a-109898	histologisch	opus_std-dict
culinary	eng-30-02707659-a	of or relating to or used in cooking	r_a-9796	culinair	google_bing_opus_alt-dict
malodorous	eng-30-01053144-a	having an unpleasant smell	d_a-197419	onwelriekend	bing_opus_std-dict
imperceptible	eng-30-01748318-a	impossible or difficult to perceive by the mind or senses	r_a-16630	onmerkbaar	google_std-dict
disinclined	eng-30-01293158-a	unwilling because of mild dislike or disapproval	r_a-10937	geneigd	google_bing_std-dict
adjectival	eng-30-02936020-a	of or relating to or functioning as an adjective	r_a-9302	bijvoeglijk	google_std-dict
unharmonious	eng-30-01164072-a	not in harmony	d_a-50845	conflictueus	google_std-dict
epidemiological	eng-30-02976681-a	of or relating to epidemiology	d_a-74603	epidemiologisch	opus_std-dict
causative	eng-30-00322457-a	producing an effect	r_a-13849	oorzakelijk	google_opus_std-dict
cytologic	eng-30-02709752-a	of or relating to the science of cytology	d_a-55375	cytologisch	automatic-rule-1_google_std-dict
malicious	eng-30-00224731-a	having the nature of or resulting from malice	r_a-14804	schadelijk	bing_alt-dict
polyphonous	eng-30-02855757-a	of or relating to or characterized by polyphony	r_a-12804	meerstemmig	bing_std-dict
unblemished	eng-30-00247013-a	free from physical or moral spots or stains	r_a-14940	smetteloos	google_std-dict
unpopular	eng-30-01816956-a	regarded with disfavor or lacking general approval	r_a-11972	impopulair	bing_opus_alt-dict
satanic	eng-30-01132515-s	extremely evil or cruel; expressive of cruelty or befitting hell	r_a-14794	satanisch	google_opus_std-dict
informational	eng-30-02749150-a	relating to or having the nature of information	r_a-11907	informatief	google_bing_opus_alt-dict
creaseproof	eng-30-03056871-a	of fabric that does not wrinkle easily	r_a-12661	kreukvrij	google_std-dict
mediatory	eng-30-02990035-a	of or related to or directed toward mediation	d_a-401438	bemiddelend	google_std-dict
two-year	eng-30-00678221-a	having a life cycle lasting two seasons	d_a-297164	tweejarig	google_std-dict
combined	eng-30-01329830-a	made or joined or united into one	d_a-523067	gecombineerd	automatic-rule-1_google_opus_std-dict
theosophical	eng-30-03124657-a	of or relating to theosophy	d_a-299819	theosofisch	automatic-rule-1_google_bing_std-dict
homogeneous	eng-30-01199751-a	all of the same or similar kind or nature	r_a-11665	homogeen	bing_opus_alt-dict
homeric	eng-30-03073251-a	relating to or characteristic of Homer or his age or the works attributed to him	r_a-11662	homerisch	google_std-dict
undiluted	eng-30-00756728-a	not diluted	d_a-197071	onverdund	automatic-rule-1_opus_std-dict
minimal	eng-30-01496021-a	the least possible	r_a-12883	minimaal	google_opus_std-dict
nonsurgical	eng-30-02889157-a	not surgical	r_a-9730	chirurgisch	bing_alt-dict
undefeated	eng-30-00695024-a	victorious	r_a-13530	ongeslagen	google_bing_opus_std-dict
negligent	eng-30-00754873-a	characterized by neglect and undue lack of concern	r_a-13060	nalatig	google_opus_std-dict
avoidable	eng-30-00343700-a	capable of being avoided or warded off	d_a-328276	vermijdbaar	google_opus_std-dict
autarchic	eng-30-02650795-a	of or relating to or characterized by autarchy	r_a-8832	autarkisch	automatic-rule-1_google_bing_opus_std-dict
mandibular	eng-30-02877910-a	relating to the lower jaw	d_a-166804	mandibulair	automatic-rule-1_bing_opus_std-dict
helpful	eng-30-01195536-a	providing assistance or serving a useful function	r_a-13196	nuttig	bing_opus_std-dict
unedifying	eng-30-01325691-a	not edifying	r_a-16324	vreugdeloos	bing_alt-dict
confrontational	eng-30-02701775-a	of or relating to confrontation	r_a-9862	confronterend	opus_std-dict
cybernetic	eng-30-03057807-a	of or relating the principles of cybernetics	d_a-53663	cybernetisch	opus_std-dict
sensorial	eng-30-02108665-a	involving or derived from the senses	r_a-16423	zintuiglijk	google_alt-dict
paved	eng-30-01739693-a	covered with a firm surface	d_a-523447	geplaveid	automatic-rule-1_opus_std-dict
supportive	eng-30-02354537-a	furnishing support or assistance	d_a-208088	ondersteunend	opus_std-dict
shorn	eng-30-02154422-a	having the hair or wool cut or clipped off as if with shears or clippers	r_a-11310	geschoren	google_bing_std-dict
orthographic	eng-30-02909952-a	of or relating to or expressed in orthography	r_a-13938	orthografisch	automatic-rule-1_bing_opus_std-dict
seminiferous	eng-30-02795925-a	bearing or producing seed or semen	d_a-89130	geleidend	opus_std-dict
serologic	eng-30-02987760-a	of or relating to serology	d_a-284076	serologisch	automatic-rule-1_google_bing_opus_std-dict
unselected	eng-30-02123743-a	not selected	d_a-417850	uitgeschakeld	bing_std-dict
profitable	eng-30-01870889-a	yielding material gain or profit	r_a-15843	winstgevend	automatic-rule-1_bing_opus_std-dict
dithyrambic	eng-30-02714708-a	of or in the manner of a dithyramb	r_a-12375	lovend	bing_alt-dict
reconcilable	eng-30-01986483-a	capable of being reconciled	r_a-16225	verenigbaar	google_std-dict
unsurprising	eng-30-02360351-a	not causing surprise	r_a-16284	verwonderlijk	google_std-dict
irrelevant	eng-30-01976084-a	having no bearing on or connection with the subject at issue	r_a-12013	irrelevant	google_opus_std-dict
unfurnished	eng-30-01098154-a	not equipped with what is needed especially furniture	d_a-194141	ongemeubileerd	google_std-dict
philological	eng-30-03019955-a	of or relating to or dealing with philology	r_a-10683	filologisch	bing_alt-dict
biogenetic	eng-30-02665212-a	of or relating to the production of living organisms from other living organisms	d_a-31631	biogeen	bing_opus_std-dict
irrelevant	eng-30-01976084-a	having no bearing on or connection with the subject at issue	r_a-13305	onbelangrijk	opus_std-dict
handed	eng-30-02027704-a	having or involving the use of hands	r_a-12331	linkshandig	automatic-rule-1_opus_std-dict
uvular	eng-30-03127937-a	of or relating to or associated with the uvula	d_a-542013	uvulair	automatic-rule-1_bing_std-dict
surprised	eng-30-02357479-a	taken unawares or suddenly and feeling wonder or astonishment	r_a-16256	verrast	bing_opus_std-dict
atonal	eng-30-02438188-a	characterized by avoidance of traditional western tonality	r_a-9024	atonaal	bing_std-dict
ethnological	eng-30-03065047-a	of or relating to ethnology	d_a-75890	etnologisch	automatic-rule-1_google_bing_opus_std-dict
gymnospermous	eng-30-02917327-a	relating to or characteristic of plants of the class Gymnospermae	d_a-180937	naaktzadig	automatic-rule-1_google_std-dict
theocratic	eng-30-02990819-a	of or relating to or being a theocracy	d_a-299817	theocratisch	google_opus_std-dict
masochistic	eng-30-02057681-a	deriving pleasure or sexual gratification from being abused or dominated	r_a-12764	masochistisch	google_bing_opus_alt-dict
cyclopean	eng-30-03058501-a	of or relating to or resembling the Cyclops	d_a-53690	cyclopisch	automatic-rule-1_bing_std-dict
commodious	eng-30-00475996-a	large and roomy (`convenient' is archaic in this sense)	r_a-11009	geriefelijk	google_std-dict
odorless	eng-30-01057775-a	having no odor	d_a-239301	reukloos	bing_opus_std-dict
replaceable	eng-30-01978395-a	capable of being replaced	r_a-16271	vervangbaar	google_opus_std-dict
nonhuman	eng-30-01260023-a	not human; not belonging to or produced by or appropriate to human beings	r_a-11702	humaan	google_alt-dict
neurological	eng-30-02917893-a	of or relating to or used in or practicing neurology	r_a-13119	neurologisch	opus_std-dict
meaningless	eng-30-01497736-a	having no meaning or direction or purpose	r_a-16421	zinloos	google_bing_std-dict
silenced	eng-30-02166027-a	reduced to silence	r_a-12938	monddood	google_std-dict
ferrous	eng-30-02726429-a	of or relating to or containing iron	r_a-12016	ijzerhoudend	google_opus_std-dict
untamed	eng-30-02389220-a	in a natural state; not tamed or domesticated or cultivated	d_a-194321	ongetemd	google_opus_std-dict
lexicographic	eng-30-02909808-a	of or relating to lexicography	r_a-12318	lexicografisch	automatic-rule-1_google_bing_std-dict
powerless	eng-30-01827535-a	lacking power	r_a-12717	machteloos	google_bing_opus_std-dict
psychoanalytic	eng-30-02913428-a	of or relating to or incorporating the methods and theory of psychiatric treatment originated by Sigmund Freud	r_a-14233	psychoanalytisch	google_bing_opus_alt-dict
botanic	eng-30-02668258-a	of or relating to plants or botany	r_a-9366	botanisch	google_std-dict
uninhibited	eng-30-01317012-a	not inhibited or restrained	r_a-13354	onbevangen	google_std-dict
suspected	eng-30-02370212-a	believed likely	r_a-15991	vermoedelijk	opus_std-dict
bacteriostatic	eng-30-02657619-a	of or relating to or causing bacteriostasis	d_a-20053	bacteriostatisch	automatic-rule-1_google_bing_opus_std-dict
undifferentiated	eng-30-00744506-a	not differentiated	r_a-13467	ongedifferentieerd	opus_std-dict
histological	eng-30-03072365-a	of or relating to histology	d_a-109898	histologisch	automatic-rule-1_google_bing_opus_std-dict
evolutionary	eng-30-03000725-a	of or relating to or produced by evolution	r_a-10516	evolutionair	google_bing_opus_alt-dict
stimulative	eng-30-02309341-a	capable of arousing or accelerating physiological or psychological activity or response by a chemical agent	d_a-416994	stimulerend	automatic-rule-1_google_bing_opus_std-dict
organizational	eng-30-02898276-a	of or relating to an organization	r_a-13929	organisatorisch	google_opus_alt-dict
prolix	eng-30-00548781-a	tediously prolonged or tending to speak or write at great length	r_a-15642	uitvoerig	google_std-dict
ectopic	eng-30-02717149-a	exhibiting ectopia	d_a-71767	ectopisch	automatic-rule-1_bing_opus_std-dict
formalistic	eng-30-02730304-a	concerned with or characterized by rigorous adherence to recognized forms (especially in religion or art)	r_a-10718	formalistisch	opus_std-dict
patriotic	eng-30-01740207-a	inspired by love for your country	r_a-14188	patriottisch	automatic-rule-1_bing_opus_std-dict
nutritional	eng-30-03002351-a	of or relating to or providing nutrition	r_a-16095	voedzaam	opus_alt-dict
tetravalent	eng-30-03124290-a	haveing a valence of four	d_a-269320	staalgrijs	bing_std-dict
disreputable	eng-30-01983797-a	lacking respectability in character or behavior or appearance	r_a-9226	berucht	bing_alt-dict
unprejudiced	eng-30-00286214-a	free from undue bias or preconceived opinions	r_a-13354	onbevangen	bing_std-dict
undiscriminating	eng-30-00775900-a	not discriminating	r_a-13638	onpartijdig	bing_alt-dict
thermoelectric	eng-30-02814878-a	involving or resulting from thermoelectricity	d_a-289774	thermo-elektrisch	automatic-rule-1_bing_std-dict
hydroelectric	eng-30-02827950-a	of or relating to or used in the production of electricity by waterpower	d_a-114723	hydro-elektrisch	automatic-rule-1_bing_std-dict
infallible	eng-30-00964906-a	incapable of failure or error	r_a-10653	feilloos	opus_std-dict
unforgettable	eng-30-01040410-a	impossible to forget	r_a-13744	onvergetelijk	bing_opus_alt-dict
encysted	eng-30-02876514-a	enclosed in (or as if in) a cyst	r_a-11914	ingekapseld	automatic-rule-1_google_std-dict
discernable	eng-30-00581812-a	perceptible by the senses or intellect	r_a-15807	waarneembaar	bing_alt-dict
matrimonial	eng-30-02852920-a	of or relating to the state of marriage	r_a-11760	huwelijks	opus_alt-dict
profitable	eng-30-01870889-a	yielding material gain or profit	r_a-14573	rendabel	automatic-rule-1_opus_std-dict
theological	eng-30-02907000-a	of or relating to or concerning theology	r_a-15407	theologisch	bing_opus_alt-dict
monetary	eng-30-02775934-a	relating to or involving money	r_a-12941	monetair	google_opus_std-dict
believable	eng-30-00644839-a	capable of being believed	r_a-11280	geloofwaardig	bing_opus_std-dict
uncontroversial	eng-30-00602721-a	not likely to arouse controversy	r_a-13612	onomstreden	google_bing_std-dict
papal	eng-30-02879638-a	proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles	r_a-14190	pauselijk	automatic-rule-1_bing_opus_std-dict
divalent	eng-30-03049071-a	having a valence of two or having two valences	d_a-297325	tweewaardig	google_std-dict
seismological	eng-30-02908366-a	of or concerned with seismology	d_a-284053	seismologisch	automatic-rule-1_google_bing_std-dict
tasty	eng-30-02395115-a	pleasing to the sense of taste	r_a-14932	smaakvol	opus_std-dict
requested	eng-30-01965287-a	asked for	r_a-11337	gevraagd	opus_alt-dict
unparented	eng-30-01733982-a	having no parent or parents or not cared for by parent surrogates	r_a-16633	ouderloos	google_std-dict
uncontested	eng-30-03148487-a	not disputed and not made the object of contention or competition	r_a-13351	onbetwist	google_opus_std-dict
fluvial	eng-30-02729812-a	of or relating to or happening in a river	d_a-82068	fluviatiel	automatic-rule-1_bing_std-dict
herbivorous	eng-30-00314023-a	feeding only on plants	d_a-231917	plantenetend	google_std-dict
orchestral	eng-30-02956137-a	relating to or composed for an orchestra	r_a-13935	orkestraal	bing_alt-dict
architectonic	eng-30-02898121-a	of or pertaining to construction or architecture	r_a-8798	architectonisch	google_opus_std-dict
punctual	eng-30-01900349-a	acting or arriving or performed exactly at the time appointed	r_a-15048	stipt	bing_alt-dict
catatonic	eng-30-03054551-a	characterized by catatonia especially either rigidity or extreme laxness of limbs	d_a-55227	catatonisch	automatic-rule-1_google_opus_std-dict
epidemiological	eng-30-02976681-a	of or relating to epidemiology	d_a-74603	epidemiologisch	automatic-rule-1_google_bing_opus_std-dict
edifying	eng-30-01325451-a	enlightening or uplifting so as to encourage intellectual or moral improvement	r_a-13856	opbouwend	bing_std-dict
unchangeable	eng-30-00346991-a	not changeable or subject to change	r_a-13725	onveranderlijk	opus_alt-dict
melanesian	eng-30-02863959-a	of or relating to Melanesia or its people or culture	r_a-16998	Melanesisch	google_bing_opus_std-dict
undefeated	eng-30-00695024-a	victorious	r_a-13530	ongeslagen	automatic-rule-1_opus_std-dict
hymenopterous	eng-30-02745075-a	of or relating to insects of the order Hymenoptera	d_a-318373	vliesvleugelig	automatic-rule-1_google_std-dict
xeric	eng-30-02588762-a	being deficient in moisture	d_a-130134	kalkminnend	bing_std-dict
homeostatic	eng-30-02741032-a	related to or characterized by homeostasis	d_a-111069	homeostatisch	automatic-rule-1_bing_std-dict
orthopedic	eng-30-03095068-a	of or relating to orthopedics	d_a-202608	orthopedisch	opus_std-dict
implacable	eng-30-01785180-a	incapable of being placated	r_a-13783	onverzoenlijk	opus_alt-dict
millennial	eng-30-02864824-a	relating to a millennium or span of a thousand years	r_a-10342	duizendjarig	google_std-dict
divalent	eng-30-03049071-a	having a valence of two or having two valences	d_a-61581	divalent	automatic-rule-1_bing_opus_std-dict
unreplaceable	eng-30-01978894-a	impossible to replace	r_a-13773	onvervangbaar	bing_std-dict
albinistic	eng-30-02609984-a	of or pertaining to or affected by albinism	r_a-16789	Cubaans	bing_alt-dict
weaned	eng-30-02539034-a	freed of dependence on something especially (for mammals) mother's milk	r_a-11039	gespeend	google_bing_opus_std-dict
unaesthetic	eng-30-00070583-a	violating aesthetic canons or requirements; deficient in tastefulness or beauty	d_a-193774	onesthetisch	google_bing_std-dict
unsigned	eng-30-02161314-a	lacking a signature	d_a-194319	ongetekend	google_opus_std-dict
iconic	eng-30-02851550-a	relating to or having the characteristics on an icon	r_a-15113	symbolisch	opus_std-dict
unshorn	eng-30-02154635-a	not sheared	r_a-13528	ongeschoren	google_std-dict
unlivable	eng-30-01423998-a	unfit or unsuitable to live in or with	r_a-13581	onleefbaar	google_bing_std-dict
handled	eng-30-02028367-a	having a usually specified type of handle	r_a-16289	verzorgd	opus_alt-dict
harmless	eng-30-01159655-a	not causing or capable of causing harm	r_a-13659	onschadelijk	bing_opus_std-dict
permeable	eng-30-01772032-a	allowing fluids or gases to pass or diffuse through	d_a-71005	doordringbaar	google_std-dict
unscrupulous	eng-30-02085898-a	without scruples or principles	r_a-11085	gewetenloos	google_opus_std-dict
liturgical	eng-30-02994312-a	of or relating to or in accord with liturgy	r_a-12228	liturgisch	google_std-dict
homemade	eng-30-00674270-a	made or produced in the home or by yourself	r_a-16494	zelfgemaakt	opus_std-dict
ill-natured	eng-30-01134769-a	having an irritable and unpleasant disposition	d_a-260885	slechtgehumeurd	bing_std-dict
prenatal	eng-30-00129103-a	occurring or existing before birth	r_a-14380	prenataal	google_opus_std-dict
quartzose	eng-30-02998184-a	relating to or made of quartz	d_a-151274	kwartsachtig	automatic-rule-1_bing_std-dict
enthusiastic	eng-30-00885695-a	having or showing great excitement and interest	r_a-10431	enthousiast	automatic-rule-1_bing_opus_std-dict
papillary	eng-30-03010176-a	of or relating to or resembling papilla	d_a-210737	papillair	automatic-rule-1_bing_opus_std-dict
asymmetric	eng-30-02373599-a	characterized by asymmetry in the spatial arrangement or placement of parts or components	r_a-8822	asymmetrisch	google_opus_std-dict
persuasive	eng-30-01769843-a	intended or having the power to induce action or belief	d_a-208989	overredend	google_std-dict
distrustful	eng-30-02463154-a	having or showing distrust	r_a-15809	wantrouwend	google_bing_opus_std-dict
sugary	eng-30-02337667-a	containing sugar	r_a-15295	suikerhoudend	bing_opus_alt-dict
necrotic	eng-30-02982602-a	relating to or affected by necrosis	d_a-182908	necrotisch	bing_opus_std-dict
caducous	eng-30-01758582-a	shed at an early stage of development	r_a-15957	vergankelijk	google_std-dict
ashamed	eng-30-00153898-a	feeling shame or guilt or embarrassment or remorse	r_a-9229	beschaamd	google_bing_opus_std-dict
displeased	eng-30-01805889-a	not pleased; experiencing or manifesting displeasure	r_a-13681	ontevreden	bing_std-dict
fatalistic	eng-30-03065516-a	of or relating to fatalism	r_a-10644	fatalistisch	google_bing_opus_alt-dict
unreflected	eng-30-02009012-a	(especially of incident sound or light) not turned back by physical reflection	r_a-13420	ondoordacht	google_alt-dict
unsaleable	eng-30-02062358-a	impossible to sell	d_a-208482	onverkoopbaar	google_bing_std-dict
draconian	eng-30-03031102-a	of or relating to Draco or his harsh code of laws	r_a-10226	draconisch	google_bing_opus_alt-dict
unborn	eng-30-01733661-a	not yet brought into existence	r_a-13453	ongeboren	google_bing_opus_std-dict
exculpatory	eng-30-00923321-a	clearing of guilt or blame	d_a-208378	ontlastend	opus_std-dict
curved	eng-30-02315002-a	having or marked by a curve or smoothly rounded bend	r_a-11258	gekromd	opus_alt-dict
tsaristic	eng-30-02710043-a	of or relating to or characteristic of a czar	r_a-15518	tsaristisch	google_bing_alt-dict
studied	eng-30-01798828-a	produced or marked by conscious design or premeditation	d_a-27947	bestudeerd	google_opus_std-dict
orthographic	eng-30-02909952-a	of or relating to or expressed in orthography	d_a-15056	autografisch	automatic-rule-1_opus_std-dict
exoteric	eng-30-00900478-a	suitable for the general public	d_a-76816	exoterisch	automatic-rule-1_bing_std-dict
asyndetic	eng-30-02381189-a	lacking conjunctions	d_a-14421	asyndetisch	automatic-rule-1_bing_std-dict
sufficient	eng-30-02335828-a	of a quantity that can fulfill a need or requirement but without being abundant	r_a-15426	toereikend	opus_alt-dict
frivolous	eng-30-02120458-a	not serious in content or attitude or behavior	r_a-10756	frivool	google_opus_std-dict
papillose	eng-30-03010176-a	of or relating to or resembling papilla	d_a-210737	papillair	google_std-dict
thermodynamical	eng-30-02908041-a	of or concerned with thermodynamics	d_a-289769	thermodynamisch	automatic-rule-1_google_bing_std-dict
digestible	eng-30-01182024-a	capable of being converted into assimilable condition in the alimentary canal	r_a-16268	verteerbaar	google_opus_std-dict
uncharacteristic	eng-30-00357983-a	distinctive and not typical	r_a-13457	ongebruikelijk	bing_std-dict
indistinct	eng-30-00781168-a	not clearly defined or easy to perceive or understand	r_a-13427	onduidelijk	opus_alt-dict
gynecological	eng-30-02916969-a	of or relating to or practicing gynecology	r_a-11382	gynaecologisch	google_bing_opus_alt-dict
romanic	eng-30-02921325-a	of or relating to or derived from Rome (especially ancient Rome)	d_a-536615	romaans	google_std-dict
syllogistic	eng-30-02910644-a	of or relating to or consisting of syllogism	d_a-278651	syllogistisch	automatic-rule-1_bing_std-dict
unendowed	eng-30-00671441-a	not equipped or provided	r_a-11039	gespeend	opus_std-dict
insatiable	eng-30-02078399-a	impossible to satisfy	r_a-13780	onverzadigbaar	opus_std-dict
unobstructed	eng-30-01622302-a	free from impediment or obstruction or hindrance	r_a-13308	onbelemmerd	google_bing_std-dict
inconspicuous	eng-30-00581401-a	not prominent or readily noticeable	r_a-13628	onopvallend	opus_std-dict
orthopaedic	eng-30-03095068-a	of or relating to orthopedics	d_a-202608	orthopedisch	automatic-rule-1_google_bing_opus_std-dict
crease-resistant	eng-30-03056871-a	of fabric that does not wrinkle easily	r_a-12661	kreukvrij	google_std-dict
enthusiastic	eng-30-00885695-a	having or showing great excitement and interest	r_a-10431	enthousiast	google_opus_std-dict
unwomanly	eng-30-01485502-a	not womanly	r_a-13803	onvrouwelijk	automatic-rule-1_bing_std-dict
macroeconomic	eng-30-02758500-a	of or relating to macroeconomics	r_a-12721	macro-economisch	automatic-rule-1_google_bing_std-dict
supernaturalistic	eng-30-02912054-a	of or relating to supernaturalism	r_a-9373	bovennatuurlijk	google_alt-dict
cadastral	eng-30-02673022-a	of or relating to the records of a cadastre	r_a-12559	kadastraal	bing_alt-dict
heliocentric	eng-30-01118928-a	having the sun as the center	d_a-107665	heliocentrisch	google_opus_std-dict
scheduled	eng-30-02366716-a	planned or scheduled for some certain time or times	d_a-102639	gepland	google_bing_opus_std-dict
harmful	eng-30-01160031-a	causing or capable of causing harm	r_a-14804	schadelijk	google_opus_std-dict
associative	eng-30-00157389-a	characterized by or causing or resulting from the process of bringing ideas or events together in memory or imagination	r_a-8818	associatief	bing_opus_alt-dict
irrecoverable	eng-30-01956523-a	incapable of being recovered or regained	d_a-208274	oninbaar	google_std-dict
teutonic	eng-30-02958126-a	of or pertaining to the ancient Teutons or their languages	d_a-289360	Teutoons	opus_std-dict
geologic	eng-30-02905591-a	of or relating to or based on geology	r_a-11289	geologisch	google_bing_alt-dict
sociocultural	eng-30-02872654-a	relating to both social and cultural matters	r_a-15147	sociaal-cultureel	bing_alt-dict
socialistic	eng-30-00298041-a	advocating or following the socialist principles	r_a-14960	socialistisch	bing_alt-dict
arterial	eng-30-02641856-a	of or involving or contained in the arteries	d_a-260434	slagaderlijk	automatic-rule-1_opus_std-dict
gaseous	eng-30-02262542-a	existing as or having characteristics of a gas	r_a-11208	gasvormig	automatic-rule-1_opus_std-dict
eponymous	eng-30-03036595-a	being or relating to or bearing the name of an eponym	r_a-11277	gelijknamig	google_bing_alt-dict
meatless	eng-30-01499602-a	lacking meat	d_a-328575	vleesloos	bing_std-dict
obstetrical	eng-30-02917694-a	of or relating to or used in or practicing obstetrics	d_a-311056	verloskundig	automatic-rule-1_google_bing_std-dict
unseaworthy	eng-30-02088086-a	unfit for a voyage	r_a-16397	zeewaardig	bing_alt-dict
abridged	eng-30-00004413-a	(used of texts) shortened by condensing or rewriting	r_a-9674	beknopt	opus_alt-dict
mindful	eng-30-01977155-a	bearing in mind; attentive to	r_a-9150	bedachtzaam	opus_std-dict
voltaic	eng-30-02827160-a	pertaining to or producing electric current by chemical action	r_a-11207	galvanisch	google_alt-dict
unlogical	eng-30-01430847-a	lacking in correct logical relation	r_a-13583	onlogisch	google_bing_alt-dict
