lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
bezoek	r_n-7172	odwn-10-109475482-n	n	personen op bezoek	eng-30-00031264-n	any number of entities (members) considered as a unit					
overbrugging	r_n-27051	odwn-10-105398500-n	n	verbinding;connection	eng-30-00578549-n	a service that an organization or a piece of equipment offers you					
sterfelijkheid	r_n-35783	odwn-10-104045946-n	n	het zullen sterven;will die	eng-30-05162455-n	the quality of being limited or restricted					
track	r_n-38216	odwn-10-105240866-n	n	spoor v.e. magneetband;track of a magnetic tape	eng-30-09449510-n	a relatively long narrow piece of something					
mijnbouw	r_n-23821	odwn-10-105288596-n	n	exploitatie van mijnen;exploitation of mines	eng-30-07966719-n	a social group that forms part of the society or the economy					
siertuin	r_n-33725	odwn-10-109861845-n	n	tuin voor de sier aangelegd;for the ornamental garden built	eng-30-08497294-n	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)					
opvanghuis	r_n-26785	odwn-10-109078965-n	n	huis voor opvang van verslaafden;for home care of addicts	eng-30-08053576-n	an organization founded and united for a specific purpose					
schop	r_n-33225	odwn-10-109285202-n	n	gereedschap om mee te graven;tool for digging	eng-30-04208210-n	a hand tool for lifting loose material; consists of a curved container or scoop and a handle					
ontluchten	r_v-5305	odwn-10-102706284-v	v	van lucht ontdoen;rid of air	eng-30-01511706-v	cause to move forward with force					
kadaster	r_n-18781	odwn-10-102367620-n	n	register van onroerend goed;register of real estate	eng-30-13412321-n	a book in which names and transactions are listed					
illustrator	r_n-17670	odwn-10-106043099-n	n	iemand die plaatjes voor in boeken maakt;someone for pictures in books makes	eng-30-10029068-n	an artist skilled at drawing					
bebouwen	r_v-1080	odwn-10-105563045-v	v	met gewassen beplanten;with crops planted	eng-30-01182709-v	give what is desired or needed, especially support, food or sustenance					
waterverf	r_n-42551	odwn-10-107363932-n	n	verf op waterbasis;water-based paint	eng-30-03875218-n	a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating					
internist	r_n-18139	odwn-10-107458947-n	n	medisch specialist;medical specialist	eng-30-10631941-n	an expert who is devoted to one occupation or branch of learning					
ijzer	r_n-17641	odwn-10-106120402-n	n	ijzeren voorwerp	eng-30-00002684-n	a tangible and visible entity; an entity that can cast a shadow					
borgsom	r_n-8123	odwn-10-107090166-n	n	borg;deposit	eng-30-13331198-n	a quantity of money					
pollepel	r_n-29105	odwn-10-102422273-n	n	opscheplepel voor soep;serving spoon for soup	eng-30-04381073-n	a spoon larger than a dessert spoon; used for serving					
inktpatroon	r_n-17941	odwn-10-102937571-n	n	vulling voor een pen;filling a pen	eng-30-02974697-n	a portable container for carrying several objects					
zetelen	r_v-10238	odwn-10-102851557-v	v	gevestigd zijn;located	eng-30-02637202-v	dwell					
draaideur	r_n-11449	odwn-10-100279854-n	n	deur die rond zijn eigen as draait;door that rotates about its own axis	eng-30-03221720-n	a swinging or sliding barrier that will close the entrance to a room or building or vehicle					
jak	r_n-18403	odwn-10-106390153-n	n	rundersoort;bovine species	eng-30-02402010-n	any of various members of the genus Bos					
jaaglijn	r_n-18338	odwn-10-109224529-n	n	lijn van trekschuit;line of barge	eng-30-03670849-n	something (as a cord or rope) that is long and thin and flexible					
schil	r_n-32996	odwn-10-101150568-n	n	buitenkant v.e. vrucht of knol;outside of a fruit or tuber	eng-30-04014297-n	a covering that is intend to protect from damage or injury					
omstrengelen	r_v-5123	odwn-10-105587243-v	v	de armen slaan om;hit the poor	eng-30-00126264-v	cause to change; make different; cause a transformation					
elimineren	r_v-2632	odwn-10-105195502-v	v	uitschakelen (van mensen);off of people	eng-30-01511706-v	cause to move forward with force					
akte	r_n-3178	odwn-10-107681078-n	n	diploma, vergunning	eng-30-06549661-n	a legal document giving official permission to do something					
notaris	r_n-25320	odwn-10-107558433-n	n	ambtenaar die akten opmaakt	eng-30-10227985-n	a legal scholar versed in civil law or the law of nations					
afspringen	r_v-772	odwn-10-103529904-v	v	plotseling loskomen;loose suddenly	eng-30-00124442-v	go or proceed from one point to another					
cultfilm	r_n-10206	odwn-10-101967180-n	n	film populair bij een kleine groep	eng-30-06613686-n	a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement					
aroma	r_n-3943	odwn-10-105351612-n	n	geur van voedsel;smell of food	eng-30-04980008-n;eng-30-05713737-n	any property detected by the olfactory system					
burger	r_n-8852	odwn-10-109445819-n	n	gewoon lid v.d. bevolking;ordinary member of the population	eng-30-00007846-n	a human being					
geweld	r_n-14971	odwn-10-101054811-n	n	zeer grote kracht;very large force	eng-30-11458624-n	(physics) the influence that produces a change in a physical quantity					
titulatuur	r_n-37795	odwn-10-108671479-n	n	benaming met een titel;designation with a title	eng-30-05869584-n	all of something including all its component elements or parts					
focussen	r_v-2792	odwn-10-103756821-v	v	de aandacht richten op;focus on	eng-30-00752764-v	express the need or desire for; ask for					
hint	r_n-16856	odwn-10-106994770-n	n	aanwijzing;designation	eng-30-06634376-n	a message received and understood					
Venezolaan	r_n-39820	odwn-10-101897200-n	n	inwoner Venezuela;resident Venezuela	eng-30-09625401-n	a person who owes allegiance to that nation					
raffineren	r_v-6528	odwn-10-106800754-v	v	verfijnen;refine	eng-30-00332154-v;eng-30-01532589-v	make into a powder by breaking up or cause to become dust					
vraagteken	r_n-41771	odwn-10-104992029-n	n	leesteken aan het eind v.e. vraag;punctuation mark at the end of a question	eng-30-06841365-n	the marks used to clarify meaning by indicating separation of words into sentences and clauses and phrases					
uittekenen	r_v-8558	odwn-10-109562774-v	v	in tekening afbeelden;in drawing depicting	eng-30-01688256-v	make a portrait of					
radio	r_n-30352	odwn-10-106953203-n	n	instelling die radio-uitzendingen doet;setting that makes radio broadcasts	eng-30-06619428-n	a radio or television show					
graaien	r_v-3020	odwn-10-107444822-v	v	snaaien;snatch	eng-30-01212572-v	take hold of; grab					
stimuleringsbeleid	r_n-35915	odwn-10-106189711-n	n	economisch overheidsbeleid;economic government	eng-30-01124794-n	the act of governing; exercising authority					
bonbon	r_n-7987	odwn-10-105118199-n	n	gevuld chocolaatje	eng-30-07557165-n	something considered choice to eat					
begrip	r_n-6327	odwn-10-106775079-n	n	inlevingsbereidheid;empathy readiness	eng-30-05805475-n	the cognitive condition of someone who understands					
principe	r_n-29659	odwn-10-109854789-n	n	vaste overtuiging	eng-30-05945642-n	a personal belief or judgment that is not founded on proof or certainty					
schraag	r_n-33285	odwn-10-107948111-n	n	draagbalk;beam	eng-30-04507453-n	framework that serves as a support for the body of a vehicle					
hinkelen	r_v-3226	odwn-10-108323482-v	v	het hinkelspel spelen;play hopscotch	eng-30-01963942-v	move forward by leaps and bounds					
tekenen	r_v-7749	odwn-10-102042918-v	v	kenmerken;Features	eng-30-02137132-v	make visible or noticeable					
bark	r_n-5989	odwn-10-103929449-n	n	oud of slecht schip	eng-30-04194289-n	a vessel that carries passengers or freight					
schapenbout	r_n-32753	odwn-10-100699577-n	n	vlees v.e. schapenpoot;meat of a sheepsfoot	eng-30-07649854-n	the flesh of animals (including fishes and birds and snails) used as food					
burggraaf	r_n-8868	odwn-10-106455146-n	n	edelman	eng-30-10271677-n	a titled peer of the realm					
wandrek	r_n-42274	odwn-10-108433722-n	n	gymnastiektoestel om in te klimmen;gym gear to climb	eng-30-03183080-n	an instrumentality invented for a particular purpose					
geldmarkt	r_n-14421	odwn-10-107771925-n	n	handel in waardepapieren;trading in securities	eng-30-01097292-n	the world of commercial activity where goods and services are bought and sold					
bosbouw	r_n-8166	odwn-10-106261017-n	n	planten van bomen;Planting trees	eng-30-00948206-n;eng-30-00916464-n	the act of making some area of land or water more profitable or productive or useful					
ventilatiesysteem	r_n-39844	odwn-10-108016121-n	n	systeem voor ventilatie;system for ventilation	eng-30-05661996-n	a complex of methods or rules governing behavior					
chocolaatje	r_n-9341	odwn-10-100831902-n	n	stukje chocola in een bepaalde vorm;piece of chocolate in some form	eng-30-07557165-n	something considered choice to eat					
pyjamajasje	r_n-30180	odwn-10-107997361-n	n	jasje v.e. pyjama	eng-30-03419014-n	an article of clothing					
uitbroeden	r_v-8227	odwn-10-107681000-v	v	beramen;plot	eng-30-00372958-v	make warm or warmer					
lessen	r_v-4364	odwn-10-107341888-v	v	(autorij-)les volgen;autorij- follow lesson	eng-30-00597915-v	gain knowledge or skills					
verzwijgen	r_v-9571	odwn-10-105105996-v	v	niet zeggen;not say	eng-30-02681795-v	keep in a certain state, position, or activity; e.g., "keep clean"					
graftombe	r_n-15613	odwn-10-108049927-n	n	grafbedekking;grave coverage	eng-30-03743902-n	a structure erected to commemorate persons or events					
bekorten	r_v-1234	odwn-10-103006828-v	v	korter maken;shorten	eng-30-00429060-v	cut down on; make a reduction in					
olietanker	r_n-25646	odwn-10-105889877-n	n	schip dat olie vervoert;ship carrying oil	eng-30-02687172-n	a large warship that carries planes and has a long flat deck for takeoffs and landings					
intelligentie	r_n-18086	odwn-10-100738763-n	n	vermogen te leren en begrijpen;ability to learn and understand	eng-30-05651680-n	the capacity for rational thought or inference or discrimination					
spetteren	r_v-7362	odwn-10-101050032-v	v	doen spatten;doing splashes	eng-30-02516437-v	work hastily or carelessly; deal with inadequately and superficially					
croissanterie	r_n-10189	odwn-10-109295537-n	n	broodjeszaak	eng-30-04202417-n	a mercantile establishment for the retail sale of goods or services					
stoplap	r_n-36038	odwn-10-103601832-n	n	nietszeggend woord	eng-30-06286395-n	a unit of language that native speakers can identify					
overheersing	r_n-27103	odwn-10-103063347-n	n	toestand van onderdrukking;state of oppression	eng-30-00156812-n	using force to cause something to occur					
luilak	r_n-22723	odwn-10-107244163-n	n	lui iemand;lazy person	eng-30-00007846-n	a human being					
verdedigingswapen	r_n-39944	odwn-10-102650130-n	n	defensief wapen;defensive weapon	eng-30-04565375-n	any instrument or instrumentality used in fighting or hunting					
calculatie	r_n-8980	odwn-10-102544033-n	n	berekening v.d. kostprijs;calculation of the cost price	eng-30-06468951-n	a sketchy summary of the main points of an argument or theory					
hoofdrol	r_n-17108	odwn-10-104563305-n	n	belangrijkste rol	eng-30-05929008-n	'an actor''s portrayal of someone in a play'					
dubbelvouwen	r_v-2578	odwn-10-100206803-v	v	in tweeën vouwen;bi-fold	eng-30-01277974-v	bend or lay so that one part covers the other					
onkruid	r_n-26101	odwn-10-104640697-n	n	schadelijke planten;harmful plants	eng-30-00004475-n	a living thing that has (or can develop) the ability to act or function independently					
coderen	r_v-1973	odwn-10-105275427-v	v	in code brengen;code in bringing	eng-30-00959827-v	restate (words) from one language into another language					
westzijde	r_n-43081	odwn-10-107171520-n	n	westelijke zijde	eng-30-02875013-n	a strip forming the outer edge of something					
kleuteronderwijs	r_n-19826	odwn-10-106745393-n	n	onderwijs aan kleuters;teaching toddlers	eng-30-00883297-n	the activities of educating or instructing; activities that impart knowledge or skill					
wijdte	r_n-43159	odwn-10-103163957-n	n	afstand haaks op de lengte	eng-30-05136150-n	the extent of something from side to side					
erfelijkheidsleer	r_n-12563	odwn-10-102418031-n	n	leer v.d. erfelijkheid;doctrine of the heredity	eng-30-05999797-n	a particular branch of scientific knowledge					
stiefzoon	r_n-35861	odwn-10-109809604-n	n	zoon van je man of vrouw;son of your husband or wife	eng-30-10624074-n	a male human offspring					
studentenhuisvesting	r_n-36392	odwn-10-101447320-n	n	instelling voor studentenwoonruimte;institution for student housing	eng-30-08053576-n	an organization founded and united for a specific purpose					
sterkedrank	r_n-35794	odwn-10-109543480-n	n	sterke dranken;alcoholhoudende dranken;drank met meer dan 20% alcohol;of beverages with more than 20% alcohol	eng-30-07884567-n	a liquor or brew containing alcohol as the active agent					
lospeuteren	r_v-4467	odwn-10-107175772-v	v	iets dat vastzit, peuterend losmaken;anything that is stuck , loosen peut back	eng-30-01284908-v	cause to become loose					
vriescel	r_n-41862	odwn-10-105986275-n	n	bewaarplaats met temperatuur onder nul;repository with temperatures below zero	eng-30-04328946-n	the area in any structure that provides space for storage					
remspoor	r_n-31328	odwn-10-108179043-n	n	strepen op de weg v.h. remmen;lines on the road v.h brakes	eng-30-13896369-n	a concavity in a surface produced by pressing					
leesboek	r_n-21651	odwn-10-106743796-n	n	boek om lekker te lezen;nice book to read	eng-30-06410904-n	a written work or composition that has been published (printed on pages bound together)					
remigrant	r_n-31307	odwn-10-100523233-n	n	naar eigen land terugkerend emigrant;emigrant returning to their own country	eng-30-10314952-n	traveler who moves from one region or country to another					
kabinetsformateur	r_n-18762	odwn-10-101704309-n	n	iemand die het kabinet bij elkaar brengt;someone who brings together government	eng-30-10450303-n	a person active in party politics					
